Generating synthetic dataset ...
Train: (2000, 1, 16, 16)  Val: (400, 1, 16, 16)
Config: {'conv_layers': [(8, 3, 1)], 'pool_size': 2, 'pool_stride': 2, 'dense_layers': [64], 'n_classes': 10, 'batch_size': 32, 'n_epochs': 3, 'lr': 0.001, 'weight_decay': 0.0001, 'seed': 42, 'input_shape': (1, 16, 16)}

Epoch   1 | loss 0.4992 | val acc 1.0000
Epoch   2 | loss 0.0270 | val acc 1.0000
Epoch   3 | loss 0.0097 | val acc 1.0000

Final val accuracy: 1.0000
         568786 function calls (566246 primitive calls) in 1.856 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      228    0.003    0.000    0.020    0.000 _arraypad_impl.py:546(pad)
      138    0.000    0.000    0.020    0.000 <frozen importlib._bootstrap_external>:1255(_get_spec)
      117    0.020    0.000    0.020    0.000 {built-in method _io.open_code}
        1    0.000    0.000    0.020    0.020 _linalg.py:1(<module>)
      456    0.020    0.000    0.020    0.000 cnn.py:179(forward)
      251    0.001    0.000    0.019    0.000 <frozen importlib._bootstrap_external>:1357(find_spec)
    17/13    0.000    0.000    0.015    0.001 <frozen importlib._bootstrap_external>:1059(exec_module)
    17/13    0.005    0.000    0.015    0.001 {built-in method _imp.exec_dynamic}
        1    0.000    0.000    0.015    0.015 argparse.py:1862(__init__)
        7    0.000    0.000    0.015    0.002 argparse.py:1502(add_argument)
       11    0.000    0.000    0.015    0.001 argparse.py:2731(_get_validation_formatter)
        1    0.000    0.000    0.015    0.015 argparse.py:2726(_get_formatter)
        1    0.000    0.000    0.015    0.015 argparse.py:164(__init__)
        1    0.000    0.000    0.013    0.013 __init__.py:717(__getattr__)
      146    0.000    0.000    0.013    0.000 <frozen importlib._bootstrap>:809(module_from_spec)
      552    0.000    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:145(_path_stat)
      552    0.012    0.000    0.012    0.000 {built-in method nt.stat}
    29562    0.012    0.000    0.012    0.000 {built-in method numpy.arange}
        1    0.000    0.000    0.011    0.011 multiarray.py:1(<module>)
        1    0.000    0.000    0.010    0.010 _add_newdocs.py:1(<module>)
       17    0.000    0.000    0.010    0.001 <frozen importlib._bootstrap_external>:1051(create_module)
       17    0.010    0.001    0.010    0.001 {built-in method _imp.create_dynamic}
        1    0.000    0.000    0.009    0.009 einsumfunc.py:1(<module>)
        1    0.000    0.000    0.008    0.008 numeric.py:1(<module>)
      189    0.003    0.000    0.008    0.000 cnn.py:240(forward)
        1    0.000    0.000    0.008    0.008 _internal.py:1(<module>)
       20    0.008    0.000    0.008    0.000 train.py:58(make_sample)
      117    0.000    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:509(_compile_bytecode)
        1    0.000    0.000    0.008    0.008 shutil.py:1(<module>)
