Metric,Value
timing__unannotated_net__count__corner:max_tt_025C_1v80,3
timing__unannotated_net_filtered__count__corner:max_tt_025C_1v80,0
design__max_slew_violation__count__corner:max_ss_100C_1v60,0
design__max_fanout_violation__count__corner:max_ss_100C_1v60,1
design__max_cap_violation__count__corner:max_ss_100C_1v60,0
clock__skew__worst_hold__corner:max_ss_100C_1v60,-0.26199990141219265
clock__skew__worst_setup__corner:max_ss_100C_1v60,0.2588816734258897
timing__hold__ws__corner:max_ss_100C_1v60,0.9298138633330961
timing__setup__ws__corner:max_ss_100C_1v60,-3.6581849696004274
timing__hold__tns__corner:max_ss_100C_1v60,0.0
timing__setup__tns__corner:max_ss_100C_1v60,-53.71659535889015
timing__hold__wns__corner:max_ss_100C_1v60,0
timing__setup__wns__corner:max_ss_100C_1v60,-3.6581849696004274
timing__hold_vio__count__corner:max_ss_100C_1v60,0
timing__hold_r2r__ws__corner:max_ss_100C_1v60,0.929814
timing__hold_r2r_vio__count__corner:max_ss_100C_1v60,0
timing__setup_vio__count__corner:max_ss_100C_1v60,23
timing__setup_r2r__ws__corner:max_ss_100C_1v60,Infinity
timing__setup_r2r_vio__count__corner:max_ss_100C_1v60,0
timing__unannotated_net__count__corner:max_ss_100C_1v60,3
timing__unannotated_net_filtered__count__corner:max_ss_100C_1v60,0
design__max_slew_violation__count__corner:max_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:max_ff_n40C_1v95,1
design__max_cap_violation__count__corner:max_ff_n40C_1v95,0
clock__skew__worst_hold__corner:max_ff_n40C_1v95,-0.2557998052446715
clock__skew__worst_setup__corner:max_ff_n40C_1v95,0.254185263365448
timing__hold__ws__corner:max_ff_n40C_1v95,0.1160940820781244
timing__setup__ws__corner:max_ff_n40C_1v95,4.136683113140944
timing__hold__tns__corner:max_ff_n40C_1v95,0.0
timing__setup__tns__corner:max_ff_n40C_1v95,0.0
timing__hold__wns__corner:max_ff_n40C_1v95,0
timing__setup__wns__corner:max_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:max_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:max_ff_n40C_1v95,0.116094
timing__hold_r2r_vio__count__corner:max_ff_n40C_1v95,0
timing__setup_vio__count__corner:max_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:max_ff_n40C_1v95,Infinity
timing__setup_r2r_vio__count__corner:max_ff_n40C_1v95,0
timing__unannotated_net__count__corner:max_ff_n40C_1v95,3
timing__unannotated_net_filtered__count__corner:max_ff_n40C_1v95,0
timing__unannotated_net__count,3
timing__unannotated_net_filtered__count,0
design_powergrid__voltage__worst__net:VPWR__corner:nom_tt_025C_1v80,1.79836
design_powergrid__drop__average__net:VPWR__corner:nom_tt_025C_1v80,1.79952
design_powergrid__drop__worst__net:VPWR__corner:nom_tt_025C_1v80,0.00163994
design_powergrid__voltage__worst__net:VGND__corner:nom_tt_025C_1v80,0.00178441
design_powergrid__drop__average__net:VGND__corner:nom_tt_025C_1v80,0.000444885
design_powergrid__drop__worst__net:VGND__corner:nom_tt_025C_1v80,0.00178441
design_powergrid__voltage__worst,0.00178441
design_powergrid__voltage__worst__net:VPWR,1.79836
design_powergrid__drop__worst,0.00178441
design_powergrid__drop__worst__net:VPWR,0.00163994
design_powergrid__voltage__worst__net:VGND,0.00178441
design_powergrid__drop__worst__net:VGND,0.00178441
ir__voltage__worst,1.8000000000000000444089209850062616169452667236328125
ir__drop__avg,0.00047699999999999999344968415471157641150057315826416015625
ir__drop__worst,0.001639999999999999964750418968151279841549694538116455078125
design__xor_difference__count,0
magic__drc_error__count,0
klayout__drc_error__count,0
magic__illegal_overlap__count,0
design__lvs_device_difference__count,0
design__lvs_net_difference__count,0
design__lvs_property_fail__count,0
design__lvs_error__count,0
design__lvs_unmatched_device__count,0
design__lvs_unmatched_net__count,0
design__lvs_unmatched_pin__count,0
